user_id,date,electricity_kwh,amount
1,2025-01-09,134.36,671.8000000000001
1,2025-02-01,136.66,683.3
1,2025-03-28,217.79,1088.95
1,2025-04-26,299.59,1497.9499999999998
1,2025-05-27,164.26,821.3
1,2025-06-21,284.92,1424.6000000000001
1,2025-07-01,201.26,1006.3
1,2025-08-02,187.67,938.3499999999999
1,2025-09-13,147.25,736.25
1,2025-10-19,266.03,1330.1499999999999
1,2025-11-01,171.68,858.4000000000001
1,2025-12-03,158.61,793.0500000000001
2,2025-01-12,103.97,519.85
2,2025-02-18,148.29,741.4499999999999
2,2025-03-05,172.99,864.95
2,2025-04-21,103.16,515.8
2,2025-05-03,125.65,628.25
2,2025-06-11,206.59,1032.95
2,2025-07-11,274.36,1371.8000000000002
2,2025-08-26,168.9,844.5
2,2025-09-02,206.98,1034.8999999999999
2,2025-10-04,296.14,1480.6999999999998
2,2025-11-01,138.12,690.6
2,2025-12-04,80.08,400.4
3,2025-01-08,230.47,1152.35
3,2025-02-05,133.68,668.4000000000001
3,2025-03-10,134.34,671.7
3,2025-04-01,171.33,856.6500000000001
3,2025-05-28,248.45,1242.25
3,2025-06-04,219.67,1098.35
3,2025-07-11,88.57,442.84999999999997
3,2025-08-25,104.79,523.95
3,2025-09-26,244.19,1220.95
3,2025-10-16,229.9,1149.5
3,2025-11-10,291.31,1456.55
3,2025-12-05,249.8,1249.0
4,2025-01-27,114.02,570.1
4,2025-02-13,117.85,589.25
4,2025-03-23,246.85,1234.25
4,2025-04-26,165.06,825.3
4,2025-05-11,163.31,816.55
4,2025-06-04,207.83,1039.15
4,2025-07-11,247.35,1236.75
4,2025-08-24,271.67,1358.3500000000001
4,2025-09-18,94.25,471.25
4,2025-10-26,171.03,855.15
4,2025-11-13,94.45,472.25
4,2025-12-11,142.06,710.3
5,2025-01-22,160.8,804.0
5,2025-02-21,220.4,1102.0
5,2025-03-01,236.76,1183.8
5,2025-04-01,137.15,685.75
5,2025-05-10,217.87,1089.35
5,2025-06-27,159.82,799.0999999999999
5,2025-07-12,200.99,1004.95
5,2025-08-08,146.29,731.4499999999999
5,2025-09-09,176.08,880.4000000000001
5,2025-10-27,297.33,1486.6499999999999
5,2025-11-28,182.85,914.25
5,2025-12-26,104.16,520.8
6,2025-01-07,156.69,783.45
6,2025-02-24,88.41,442.04999999999995
6,2025-03-22,118.8,594.0
6,2025-04-25,278.53,1392.6499999999999
6,2025-05-16,133.12,665.6
6,2025-06-20,85.41,427.04999999999995
6,2025-07-28,175.06,875.3
6,2025-08-24,253.07,1265.35
6,2025-09-28,286.63,1433.15
6,2025-10-28,112.18,560.9000000000001
6,2025-11-11,86.77,433.84999999999997
6,2025-12-10,277.72,1388.6000000000001
7,2025-01-06,228.6,1143.0
7,2025-02-20,104.38,521.9
7,2025-03-08,202.14,1010.6999999999999
7,2025-04-02,175.63,878.15
7,2025-05-19,104.15,520.75
7,2025-06-14,90.04,450.20000000000005
7,2025-07-02,169.37,846.85
7,2025-08-03,93.09,465.45000000000005
7,2025-09-01,265.65,1328.25
7,2025-10-05,167.76,838.8
7,2025-11-24,244.78,1223.9
7,2025-12-25,245.98,1229.8999999999999
8,2025-01-11,216.26,1081.3
8,2025-02-19,201.57,1007.8499999999999
8,2025-03-15,294.23,1471.15
8,2025-04-28,120.69,603.45
8,2025-05-18,207.4,1037.0
8,2025-06-22,135.38,676.9
8,2025-07-07,140.53,702.65
8,2025-08-10,168.01,840.05
8,2025-09-26,243.62,1218.1
8,2025-10-05,94.61,473.05
8,2025-11-17,154.48,772.4
8,2025-12-27,292.85,1464.25
9,2025-01-23,287.08,1435.3999999999999
9,2025-02-14,244.79,1223.95
9,2025-03-12,153.15,765.75
9,2025-04-07,263.02,1315.1
9,2025-05-03,236.99,1184.95
9,2025-06-15,138.03,690.15
9,2025-07-25,182.75,913.75
9,2025-08-24,196.81,984.05
9,2025-09-09,273.04,1365.2
9,2025-10-07,184.31,921.55
9,2025-11-02,141.15,705.75
9,2025-12-12,270.01,1350.05
10,2025-01-02,91.38,456.9
10,2025-02-13,189.64,948.1999999999999
10,2025-03-11,298.84,1494.1999999999998
10,2025-04-26,185.95,929.75
10,2025-05-04,273.7,1368.5
10,2025-06-19,257.95,1289.75
10,2025-07-21,232.37,1161.85
10,2025-08-11,151.92,759.5999999999999
10,2025-09-10,226.72,1133.6
10,2025-10-10,182.61,913.0500000000001
10,2025-11-24,81.75,408.75
10,2025-12-12,122.85,614.25
11,2025-01-01,164.08,820.4000000000001
11,2025-02-18,90.04,450.20000000000005
11,2025-03-20,135.76,678.8
11,2025-04-27,227.73,1138.6499999999999
11,2025-05-27,145.05,725.25
11,2025-06-14,288.23,1441.15
11,2025-07-03,191.62,958.1
11,2025-08-19,164.47,822.35
11,2025-09-18,120.04,600.2
11,2025-10-21,181.87,909.35
11,2025-11-03,98.51,492.55
11,2025-12-28,97.2,486.0
12,2025-01-23,181.47,907.35
12,2025-02-27,250.44,1252.2
12,2025-03-17,251.46,1257.3
12,2025-04-22,122.19,610.95
12,2025-05-16,287.81,1439.05
12,2025-06-11,155.26,776.3
12,2025-07-03,222.5,1112.5
12,2025-08-11,285.17,1425.8500000000001
12,2025-09-21,239.49,1197.45
12,2025-10-11,86.62,433.1
12,2025-11-12,120.36,601.8
12,2025-12-22,175.74,878.7
13,2025-01-18,233.88,1169.4
13,2025-02-19,146.35,731.75
13,2025-03-26,124.51,622.5500000000001
13,2025-04-21,151.76,758.8
13,2025-05-04,237.61,1188.0500000000002
13,2025-06-03,142.25,711.25
13,2025-07-16,263.02,1315.1
13,2025-08-28,234.74,1173.7
13,2025-09-25,242.45,1212.25
13,2025-10-27,299.82,1499.1
13,2025-11-27,214.09,1070.45
13,2025-12-07,294.58,1472.8999999999999
14,2025-01-09,245.04,1225.2
14,2025-02-14,236.7,1183.5
14,2025-03-24,148.31,741.55
14,2025-04-27,120.56,602.8
14,2025-05-10,190.4,952.0
14,2025-06-07,176.96,884.8000000000001
14,2025-07-07,87.57,437.84999999999997
