user_id,date,electricity_kwh
1,2024-01-01,185.09
1,2024-01-31,180.64
1,2024-03-01,93.64
1,2024-03-31,224.88
1,2024-04-30,245.3
1,2024-05-30,85.6
1,2024-06-29,108.11
1,2024-07-29,121.25
1,2024-08-28,152.42
1,2024-09-27,143.38
1,2024-10-27,89.72
1,2024-11-26,222.63
2,2024-01-01,112.2
2,2024-01-31,214.12
2,2024-03-01,208.85
2,2024-03-31,173.45
2,2024-04-30,240.25
2,2024-05-30,106.18
2,2024-06-29,136.77
2,2024-07-29,227.44
2,2024-08-28,189.38
2,2024-09-27,221.33
2,2024-10-27,148.61
2,2024-11-26,218.84
3,2024-01-01,93.8
3,2024-01-31,88.8
3,2024-03-01,162.03
3,2024-03-31,132.5
3,2024-04-30,154.18
3,2024-05-30,127.0
3,2024-06-29,248.62
3,2024-07-29,224.7
3,2024-08-28,189.42
3,2024-09-27,121.19
3,2024-10-27,195.77
3,2024-11-26,182.18
4,2024-01-01,101.11
4,2024-01-31,189.47
4,2024-03-01,196.8
4,2024-03-31,177.97
4,2024-04-30,91.78
4,2024-05-30,163.42
4,2024-06-29,87.28
4,2024-07-29,227.56
4,2024-08-28,94.24
4,2024-09-27,235.91
4,2024-10-27,136.41
4,2024-11-26,245.07
5,2024-01-01,231.47
5,2024-01-31,142.66
5,2024-03-01,108.98
5,2024-03-31,117.32
5,2024-04-30,221.61
5,2024-05-30,167.0
5,2024-06-29,161.62
5,2024-07-29,197.8
5,2024-08-28,163.25
5,2024-09-27,167.97
5,2024-10-27,95.89
5,2024-11-26,175.97
6,2024-01-01,139.92
6,2024-01-31,236.3
6,2024-03-01,177.08
6,2024-03-31,107.74
6,2024-04-30,186.71
6,2024-05-30,248.01
6,2024-06-29,95.0
6,2024-07-29,141.96
6,2024-08-28,187.77
6,2024-09-27,160.56
6,2024-10-27,243.26
6,2024-11-26,163.14
7,2024-01-01,91.5
7,2024-01-31,189.48
7,2024-03-01,173.11
7,2024-03-31,183.13
7,2024-04-30,115.77
7,2024-05-30,124.33
7,2024-06-29,188.38
7,2024-07-29,189.12
7,2024-08-28,128.78
7,2024-09-27,121.78
7,2024-10-27,190.95
7,2024-11-26,100.58
8,2024-01-01,171.0
8,2024-01-31,173.77
8,2024-03-01,219.22
8,2024-03-31,106.61
8,2024-04-30,183.7
8,2024-05-30,171.45
8,2024-06-29,139.19
8,2024-07-29,120.68
8,2024-08-28,159.24
8,2024-09-27,242.3
8,2024-10-27,175.04
8,2024-11-26,233.93
9,2024-01-01,239.56
9,2024-01-31,164.45
9,2024-03-01,119.41
9,2024-03-31,116.1
9,2024-04-30,150.63
9,2024-05-30,138.47
9,2024-06-29,107.66
9,2024-07-29,187.19
9,2024-08-28,173.17
9,2024-09-27,103.82
9,2024-10-27,127.68
9,2024-11-26,159.87
10,2024-01-01,99.83
10,2024-01-31,114.41
10,2024-03-01,200.38
10,2024-03-31,102.38
10,2024-04-30,131.55
10,2024-05-30,113.77
10,2024-06-29,147.32
10,2024-07-29,134.26
10,2024-08-28,205.82
10,2024-09-27,226.27
10,2024-10-27,88.49
10,2024-11-26,234.68
11,2024-01-01,134.37
11,2024-01-31,238.77
11,2024-03-01,157.68
11,2024-03-31,178.72
11,2024-04-30,173.62
11,2024-05-30,159.55
11,2024-06-29,105.29
11,2024-07-29,89.14
11,2024-08-28,103.44
11,2024-09-27,101.84
11,2024-10-27,163.28
11,2024-11-26,247.36
12,2024-01-01,237.58
12,2024-01-31,248.91
12,2024-03-01,199.88
12,2024-03-31,143.61
12,2024-04-30,237.33
12,2024-05-30,211.33
12,2024-06-29,189.84
12,2024-07-29,159.93
12,2024-08-28,150.24
12,2024-09-27,143.43
12,2024-10-27,211.41
12,2024-11-26,105.1
13,2024-01-01,183.02
13,2024-01-31,191.78
13,2024-03-01,236.63
13,2024-03-31,107.54
13,2024-04-30,233.51
13,2024-05-30,236.28
13,2024-06-29,85.15
13,2024-07-29,155.01
13,2024-08-28,195.21
13,2024-09-27,196.3
13,2024-10-27,127.53
13,2024-11-26,83.25
14,2024-01-01,88.11
14,2024-01-31,223.25
14,2024-03-01,123.94
14,2024-03-31,160.49
14,2024-04-30,171.87
14,2024-05-30,196.15
14,2024-06-29,227.71
14,2024-07-29,142.13
14,2024-08-28,134.65
14,2024-09-27,214.87
14,2024-10-27,174.12
14,2024-11-26,221.04
15,2024-01-01,145.82
15,2024-01-31,194.75
15,2024-03-01,120.53
15,2024-03-31,227.83
15,2024-04-30,151.68
15,2024-05-30,162.36
15,2024-06-29,201.89
15,2024-07-29,120.44
15,2024-08-28,198.07
15,2024-09-27,110.51
15,2024-10-27,225.05
15,2024-11-26,81.53
16,2024-01-01,135.54
16,2024-01-31,189.68
16,2024-03-01,84.49
16,2024-03-31,197.92
16,2024-04-30,161.34
16,2024-05-30,164.95
16,2024-06-29,178.67
16,2024-07-29,181.75
16,2024-08-28,235.95
16,2024-09-27,245.96
16,2024-10-27,123.71
16,2024-11-26,182.75
17,2024-01-01,154.65
